frame,t_s,t_unix_s,n_ref,green_x_m,green_y_m,red_x_m,red_y_m,x_m,y_m,heading_deg,vx_m_s,vy_m_s,u_m_s,v_m_s,r_deg_s,scale,ref_world_rms_m,ref_range_rms_m,color_spacing_m,motion_reset,homography_state,reference_method
68,7.5059,1785356220.651,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
69,7.6012,1785356220.746,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
70,7.6957,1785356220.841,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
71,7.7905,1785356220.935,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
72,7.8846,1785356221.030,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
73,7.9736,1785356221.118,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
74,8.0616,1785356221.208,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
75,8.1520,1785356221.297,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
76,8.2404,1785356221.386,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
77,8.3287,1785356221.474,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
78,8.4171,1785356221.562,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
79,8.5054,1785356221.653,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
80,8.5973,1785356221.743,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
81,8.6864,1785356221.832,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
82,8.7753,1785356221.921,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
83,8.8639,1785356222.009,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
84,8.9532,1785356222.098,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
85,9.0415,1785356222.188,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
86,9.1317,1785356222.277,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
