frame,host_monotonic_ns,t_s,t_unix_s,n_ref,green_x_m,green_y_m,red_x_m,red_y_m,x_m,y_m,heading_deg,vx_m_s,vy_m_s,u_m_s,v_port_m_s,v_starboard_m_s,r_deg_s,r_rad_s,scale,ref_world_rms_m,ref_range_rms_m,color_spacing_m,motion_reset,homography_state,reference_method,calibration_debug_schema_version,frame_width_px,frame_height_px,ref_tag_size_m,visible_ref_ids,candidate_available,candidate_accepted,candidate_reject_reason,candidate_method,candidate_world_rms_m,candidate_pnp_baseline_error_m,pnp_baseline_tag_a,pnp_baseline_tag_b,pnp_baseline_measured_m,pnp_baseline_expected_m,accepted_calibration_samples,max_ref_world_error_m,max_ref_range_error_m,max_ref_pose_reproj_error_px,geometry_distortion_mode,camera_K_00,camera_K_01,camera_K_02,camera_K_10,camera_K_11,camera_K_12,camera_K_20,camera_K_21,camera_K_22,camera_dist_0,camera_dist_1,camera_dist_2,camera_dist_3,camera_dist_4,geometry_dist_0,geometry_dist_1,geometry_dist_2,geometry_dist_3,geometry_dist_4,ref_101_detected,ref_101_target_x_m,ref_101_target_y_m,ref_101_center_px_x,ref_101_center_px_y,ref_101_pnp_pose_valid,ref_101_pnp_reproj_rms_px,ref_101_pnp_center_px_x,ref_101_pnp_center_px_y,ref_101_corner0_px_x,ref_101_corner0_px_y,ref_101_corner1_px_x,ref_101_corner1_px_y,ref_101_corner2_px_x,ref_101_corner2_px_y,ref_101_corner3_px_x,ref_101_corner3_px_y,ref_101_cam_x_m,ref_101_cam_y_m,ref_101_cam_z_m,ref_101_range_m,ref_101_map_x_m,ref_101_map_y_m,ref_102_detected,ref_102_target_x_m,ref_102_target_y_m,ref_102_center_px_x,ref_102_center_px_y,ref_102_pnp_pose_valid,ref_102_pnp_reproj_rms_px,ref_102_pnp_center_px_x,ref_102_pnp_center_px_y,ref_102_corner0_px_x,ref_102_corner0_px_y,ref_102_corner1_px_x,ref_102_corner1_px_y,ref_102_corner2_px_x,ref_102_corner2_px_y,ref_102_corner3_px_x,ref_102_corner3_px_y,ref_102_cam_x_m,ref_102_cam_y_m,ref_102_cam_z_m,ref_102_range_m,ref_102_map_x_m,ref_102_map_y_m,candidate_H_00,candidate_H_01,candidate_H_02,candidate_H_10,candidate_H_11,candidate_H_12,candidate_H_20,candidate_H_21,candidate_H_22,active_map_H_00,active_map_H_01,active_map_H_02,active_map_H_10,active_map_H_11,active_map_H_12,active_map_H_20,active_map_H_21,active_map_H_22
10,34087965658803,2.1536,1785360857.297,2,,,,,,,,,,,,,,,,,,,0,acquiring:11/30,none,2,1920,1200,0.200000,101;102,1,1,,2-tag corner homography,0.011571,0.507628,101,102,4.767628,4.260000,11,0.050000,0.600000,5.000000,raw-zero-distortion,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1,0.000000,0.000000,72.910,751.228,1,0.844,73.015,751.780,65.330,791.268,8.708,780.195,79.464,716.607,134.519,723.431,-2.855574,0.621864,1.805154,3.435055,-0.002226,0.001573,1,4.260000,0.000000,1773.658,886.803,1,1.667,1772.418,886.738,1843.313,934.455,1761.045,935.660,1705.064,839.879,1784.680,844.109,1.894955,0.838274,1.464698,2.537498,4.263255,-0.000080,0.0116175932,0.0116780355,-9.6292102218,0.0009124972,-0.0114984296,8.5779869904,0.0001499717,0.0042149339,1.0000000000,,,,,,,,,
11,34088148245583,2.3362,1785360857.458,2,,,,,,,,,,,,,,,,,,,0,acquiring:12/30,none,2,1920,1200,0.200000,101;102,1,1,,2-tag corner homography,0.011658,0.501597,101,102,4.761597,4.260000,12,0.050000,0.600000,5.000000,raw-zero-distortion,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1,0.000000,0.000000,73.260,750.429,1,1.098,73.169,751.383,65.490,791.265,8.696,779.515,79.734,716.403,134.697,722.752,-2.850456,0.619644,1.802216,3.428855,-0.002802,0.002724,1,4.260000,0.000000,1773.538,886.766,1,1.412,1772.488,886.697,1843.432,934.546,1761.199,935.547,1705.295,840.115,1784.425,843.723,1.894098,0.837717,1.463901,2.536214,4.262844,-0.000126,0.0115108344,0.0115697025,-9.5371352946,0.0009063090,-0.0113901418,8.4923855795,0.0001434886,0.0041770142,1.0000000000,,,,,,,,,
12,34088324798365,2.5127,1785360857.633,2,,,,,,,,,,,,,,,,,,,0,acquiring:13/30,none,2,1920,1200,0.200000,101;102,1,1,,2-tag corner homography,0.011586,0.523464,101,102,4.783464,4.260000,13,0.050000,0.600000,5.000000,raw-zero-distortion,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1,0.000000,0.000000,73.239,750.635,1,0.993,73.117,751.537,65.468,791.237,9.108,779.332,79.768,716.519,134.146,723.381,-2.871994,0.624763,1.815733,3.454789,-0.002543,0.002603,1,4.260000,0.000000,1773.387,886.603,1,1.285,1772.460,886.659,1843.564,934.577,1760.704,935.462,1705.402,840.128,1784.555,843.578,1.893752,0.837500,1.463688,2.535762,4.262710,0.000137,0.0114787159,0.0114780375,-9.4669669805,0.0009028490,-0.0113630343,8.4740746313,0.0001564949,0.0041330004,1.0000000000,,,,,,,,,
13,34088493254091,2.6812,1785360857.794,2,,,,,,,,,,,,,,,,,,,0,acquiring:14/30,none,2,1920,1200,0.200000,101;102,1,1,,2-tag corner homography,0.011644,0.505868,101,102,4.765868,4.260000,14,0.050000,0.600000,5.000000,raw-zero-distortion,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1,0.000000,0.000000,73.042,751.030,1,0.684,72.907,751.700,65.284,791.142,8.368,780.197,79.740,716.402,134.194,723.452,-2.853518,0.621102,1.803646,3.432415,-0.001908,0.001957,1,4.260000,0.000000,1773.132,886.628,1,1.309,1772.204,886.723,1843.196,934.551,1760.657,935.503,1705.265,840.207,1784.077,843.749,1.895353,0.838649,1.465416,2.538333,4.262786,0.000222,0.0115756477,0.0116550826,-9.6067667851,0.0009097478,-0.0114581258,8.5470944286,0.0001487013,0.0041977376,1.0000000000,,,,,,,,,
14,34088680849413,2.8688,1785360857.964,2,,,,,,,,,,,,,,,,,,,0,acquiring:15/30,none,2,1920,1200,0.200000,101;102,1,1,,2-tag corner homography,0.011461,0.509923,101,102,4.769923,4.260000,15,0.050000,0.600000,5.000000,raw-zero-distortion,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1,0.000000,0.000000,72.985,750.790,1,1.086,73.112,751.504,65.169,791.209,8.731,779.579,79.606,716.552,134.859,723.068,-2.856969,0.621391,1.806225,3.436692,-0.002734,0.002037,1,4.260000,0.000000,1773.374,886.761,1,1.351,1772.390,886.787,1843.353,934.577,1760.740,935.612,1705.351,840.283,1784.491,843.772,1.895791,0.838797,1.465398,2.538700,4.262795,0.000054,0.0115822032,0.0116990586,-9.6402572628,0.0009127355,-0.0114746271,8.5569074219,0.0001485435,0.0042030509,1.0000000000,,,,,,,,,
15,34088803445533,2.9914,1785360858.071,2,,,,,,,,,,,,,,,,,,,0,acquiring:16/30,none,2,1920,1200,0.200000,101;102,1,1,,2-tag corner homography,0.011858,0.498285,101,102,4.758285,4.260000,16,0.050000,0.600000,5.000000,raw-zero-distortion,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1,0.000000,0.000000,73.062,750.874,1,0.840,72.960,751.634,65.213,791.267,8.742,780.135,79.754,716.438,134.127,723.095,-2.848340,0.619810,1.800476,3.426210,-0.002282,0.002172,1,4.260000,0.000000,1773.287,886.480,1,1.236,1772.423,886.614,1843.567,934.653,1760.664,935.326,1705.482,840.002,1784.367,843.608,1.892999,0.837096,1.463177,2.534770,4.262701,0.000308,0.0116511234,0.0117376504,-9.6742991074,0.0009125849,-0.0114975862,8.5756443491,0.0001564418,0.0042199759,1.0000000000,,,,,,,,,
16,34088917220561,3.1051,1785360858.217,2,,,,,,,,,,,,,,,,,,,0,acquiring:17/30,none,2,1920,1200,0.200000,101;102,1,1,,2-tag corner homography,0.011476,0.501914,101,102,4.761914,4.260000,17,0.050000,0.600000,5.000000,raw-zero-distortion,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1,0.000000,0.000000,73.300,750.512,1,1.193,73.393,751.348,65.444,791.341,9.110,779.310,79.875,716.342,135.086,722.793,-2.851013,0.619806,1.803000,3.429758,-0.002969,0.002362,1,4.260000,0.000000,1773.254,886.546,1,1.303,1772.325,886.631,1843.451,934.556,1760.685,935.399,1705.274,840.053,1784.290,843.648,1.893823,0.837610,1.464003,2.536032,4.262758,0.000203,0.0114808299,0.0115332531,-9.5096586421,0.0009037332,-0.0113578809,8.4677384615,0.0001442274,0.0041598346,1.0000000000,,,,,,,,,
17,34089081428538,3.2694,1785360858.373,2,,,,,,,,,,,,,,,,,,,0,acquiring:18/30,none,2,1920,1200,0.200000,101;102,1,1,,2-tag corner homography,0.011489,0.488630,101,102,4.748630,4.260000,18,0.050000,0.600000,5.000000,raw-zero-distortion,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1,0.000000,0.000000,73.369,750.824,1,0.942,73.363,751.573,65.799,791.344,8.717,780.147,79.801,716.391,135.064,722.842,-2.837916,0.617620,1.794660,3.414092,-0.002475,0.002138,1,4.260000,0.000000,1773.334,886.567,1,1.388,1772.347,886.664,1843.256,934.502,1760.705,935.516,1705.406,839.999,1784.381,843.750,1.894080,0.837783,1.464158,2.536371,4.262911,0.000234,0.0113941631,0.0114501887,-9.4432135571,0.0008941181,-0.0112535800,8.3926358495,0.0001402204,0.0041252747,1.0000000000,,,,,,,,,
18,34089214330928,3.4023,1785360858.489,2,,,,,,,,,,,,,,,,,,,0,acquiring:19/30,none,2,1920,1200,0.200000,101;102,1,1,,2-tag corner homography,0.011601,0.508468,101,102,4.768468,4.260000,19,0.050000,0.600000,5.000000,raw-zero-distortion,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1,0.000000,0.000000,73.119,751.025,1,0.817,72.939,751.847,65.449,791.437,8.578,780.251,79.643,716.656,134.080,723.421,-2.854353,0.621751,1.804236,3.433537,-0.002193,0.002380,1,4.260000,0.000000,1773.397,886.744,1,1.255,1772.482,886.766,1843.595,934.709,1760.767,935.369,1705.426,840.301,1784.552,843.800,1.897148,0.839244,1.466270,2.540364,4.262647,0.000063,0.0115209262,0.0115378626,-9.5167014276,0.0009039947,-0.0113954590,8.5020267077,0.0001520287,0.0041624954,1.0000000000,,,,,,,,,
19,34089329937277,3.5179,1785360858.622,2,,,,,,,,,,,,,,,,,,,0,acquiring:20/30,none,2,1920,1200,0.200000,101;102,1,1,,2-tag corner homography,0.011614,0.495786,101,102,4.755786,4.260000,20,0.050000,0.600000,5.000000,raw-zero-distortion,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1,0.000000,0.000000,73.471,750.752,1,0.770,73.112,751.684,65.432,791.450,8.558,780.092,80.279,716.279,134.163,723.320,-2.845109,0.619359,1.798726,3.422524,-0.002018,0.002718,1,4.260000,0.000000,1773.263,886.475,1,1.259,1772.367,886.565,1843.534,934.487,1760.675,935.339,1705.324,840.057,1784.333,843.502,1.893865,0.837420,1.463954,2.535973,4.262695,0.000210,0.0115039807,0.0115260691,-9.5067615445,0.0009004222,-0.0113519133,8.4675447985,0.0001518046,0.0041548470,1.0000000000,,,,,,,,,
