frame,t_s,t_unix_s,n_ref,green_x_m,green_y_m,red_x_m,red_y_m,x_m,y_m,heading_deg,vx_m_s,vy_m_s,u_m_s,v_m_s,r_deg_s,scale,ref_world_rms_m,ref_range_rms_m,color_spacing_m,motion_reset,homography_state,reference_method
53,5.8574,1785283756.147,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
54,5.9506,1785283756.239,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
55,6.0408,1785283756.330,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
56,6.1316,1785283756.420,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
57,6.2229,1785283756.512,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
58,6.3152,1785283756.604,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
59,6.4101,1785283756.699,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
60,6.5005,1785283756.789,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
61,6.5912,1785283756.880,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
62,6.6819,1785283756.977,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
63,6.7784,1785283757.075,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
64,6.8829,1785283757.175,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
65,6.9762,1785283757.265,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
66,7.0664,1785283757.355,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
67,7.1575,1785283757.447,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
68,7.2483,1785283757.537,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
69,7.3386,1785283757.627,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
70,7.4296,1785283757.718,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
71,7.5270,1785283757.816,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
72,7.6237,1785283757.913,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
73,7.7211,1785283758.010,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
74,7.8121,1785283758.101,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
75,7.9025,1785283758.192,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
76,7.9934,1785283758.282,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
77,8.0836,1785283758.377,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
78,8.1784,1785283758.467,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
79,8.2697,1785283758.559,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
80,8.3606,1785283758.653,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
81,8.4554,1785283758.744,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
82,8.5464,1785283758.837,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
83,8.6393,1785283758.928,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
84,8.7303,1785283759.019,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
85,8.8205,1785283759.110,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
86,8.9120,1785283759.201,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
87,9.0031,1785283759.292,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
88,9.0937,1785283759.382,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
89,9.1842,1785283759.473,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
90,9.2752,1785283759.564,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
91,9.3660,1785283759.655,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
92,9.4570,1785283759.746,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
93,9.5474,1785283759.836,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
94,9.6375,1785283759.927,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
95,9.7285,1785283760.017,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
96,9.8182,1785283760.108,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
97,9.9102,1785283760.199,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
98,10.0012,1785283760.291,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
99,10.0923,1785283760.381,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
100,10.1833,1785283760.472,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
101,10.2743,1785283760.569,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
102,10.3700,1785283760.658,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
103,10.4608,1785283760.750,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
104,10.5522,1785283760.841,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
105,10.6437,1785283760.933,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
106,10.7348,1785283761.024,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
107,10.8258,1785283761.114,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
108,10.9160,1785283761.205,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
109,11.0066,1785283761.296,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
110,11.0976,1785283761.387,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
111,11.1954,1785283761.484,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
112,11.2930,1785283761.581,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
113,11.3897,1785283761.678,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
114,11.4866,1785283761.776,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
115,11.5844,1785283761.873,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
116,11.6815,1785283761.971,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
117,11.7789,1785283762.067,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
118,11.8757,1785283762.168,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
119,11.9765,1785283762.265,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
120,12.0738,1785283762.363,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
121,12.1713,1785283762.466,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
122,12.2792,1785283762.575,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
123,12.3843,1785283762.673,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
124,12.4819,1785283762.784,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
125,12.5924,1785283762.881,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
126,12.6891,1785283762.978,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
127,12.7858,1785283763.075,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
128,12.8827,1785283763.172,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
129,12.9805,1785283763.269,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
130,13.0777,1785283763.366,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
131,13.1744,1785283763.464,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
132,13.2710,1785283763.560,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
133,13.3689,1785283763.658,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
134,13.4667,1785283763.756,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
135,13.5644,1785283763.853,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
136,13.6615,1785283763.951,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
137,13.7585,1785283764.048,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
138,13.8491,1785283764.138,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
139,13.9433,1785283764.244,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
140,14.0561,1785283764.354,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
141,14.1663,1785283764.461,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
142,14.2672,1785283764.559,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
143,14.3700,1785283764.674,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
144,14.4828,1785283764.772,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
145,14.5803,1785283764.869,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
146,14.6777,1785283764.968,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
147,14.7760,1785283765.065,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
148,14.8723,1785283765.161,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
149,14.9698,1785283765.259,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
150,15.0663,1785283765.360,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
151,15.1618,1785283765.451,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
152,15.2528,1785283765.542,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
153,15.3466,1785283765.648,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
154,15.4582,1785283765.754,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
155,15.5583,1785283765.852,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
156,15.6531,1785283765.942,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
157,15.7471,1785283766.035,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
158,15.8417,1785283766.130,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
159,15.9380,1785283766.227,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
160,16.0343,1785283766.323,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
161,16.1282,1785283766.417,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
162,16.2245,1785283766.518,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
