frame,t_s,t_unix_s,n_ref,green_x_m,green_y_m,red_x_m,red_y_m,x_m,y_m,heading_deg,vx_m_s,vy_m_s,u_m_s,v_m_s,r_deg_s,scale,ref_world_rms_m,ref_range_rms_m,color_spacing_m,motion_reset,homography_state,reference_method
0,0.2628,1785283750.594,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
1,0.6834,1785283751.021,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
2,0.8689,1785283751.190,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
3,1.0094,1785283751.323,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
4,1.1383,1785283751.441,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
5,1.2601,1785283751.571,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
6,1.3764,1785283751.680,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
7,1.4873,1785283751.783,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
8,1.5885,1785283751.888,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
9,1.6936,1785283751.990,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
10,1.7948,1785283752.090,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
11,1.8952,1785283752.194,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
12,2.0000,1785283752.295,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
13,2.0998,1785283752.394,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
14,2.1985,1785283752.494,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
15,2.2982,1785283752.593,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
16,2.3985,1785283752.693,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
17,2.4972,1785283752.791,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
18,2.5963,1785283752.894,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
19,2.6987,1785283752.994,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
20,2.7990,1785283753.094,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
21,2.8987,1785283753.193,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
22,2.9978,1785283753.294,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
23,3.0990,1785283753.395,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
24,3.2001,1785283753.496,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
25,3.3002,1785283753.590,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
26,3.3918,1785283753.681,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
27,3.4833,1785283753.772,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
28,3.5738,1785283753.863,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
29,3.6643,1785283753.955,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
30,3.7575,1785283754.046,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
31,3.8487,1785283754.138,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
32,3.9396,1785283754.228,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
33,4.0300,1785283754.318,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
34,4.1205,1785283754.409,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
35,4.2119,1785283754.501,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
36,4.3029,1785283754.591,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
37,4.3942,1785283754.683,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
38,4.4840,1785283754.773,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
39,4.5753,1785283754.864,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
40,4.6664,1785283754.955,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
41,4.7574,1785283755.046,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
42,4.8478,1785283755.137,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
43,4.9389,1785283755.230,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
44,5.0318,1785283755.321,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
45,5.1224,1785283755.412,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
46,5.2139,1785283755.503,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
47,5.3041,1785283755.600,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
48,5.4020,1785283755.693,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
49,5.4948,1785283755.784,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
50,5.5860,1785283755.874,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
51,5.6763,1785283755.965,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
52,5.7664,1785283756.056,3,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
