frame,t_s,t_unix_s,n_ref,green_x_m,green_y_m,red_x_m,red_y_m,x_m,y_m,heading_deg,vx_m_s,vy_m_s,u_m_s,v_m_s,r_deg_s,scale,ref_world_rms_m,ref_range_rms_m,color_spacing_m,motion_reset,homography_state,reference_method
49,5.5913,1785357090.053,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
50,5.6887,1785357090.148,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
51,5.7840,1785357090.249,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
52,5.8921,1785357090.355,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
53,5.9905,1785357090.450,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
54,6.0852,1785357090.544,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
55,6.1835,1785357090.667,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
56,6.3087,1785357090.775,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
57,6.4114,1785357090.871,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
58,6.5065,1785357090.966,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
59,6.6017,1785357091.061,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
60,6.6968,1785357091.157,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
61,6.7901,1785357091.249,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
62,6.8847,1785357091.344,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
63,6.9816,1785357091.448,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
64,7.0848,1785357091.564,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
65,7.1967,1785357091.657,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
66,7.2923,1785357091.754,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
67,7.3902,1785357091.850,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
68,7.4872,1785357091.954,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
69,7.5901,1785357092.050,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
70,7.6850,1785357092.144,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
71,7.7789,1785357092.239,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
72,7.8746,1785357092.334,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
73,7.9722,1785357092.439,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
74,8.0749,1785357092.534,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
75,8.1669,1785357092.631,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
76,8.2598,1785357092.719,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
77,8.3482,1785357092.808,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
78,8.4371,1785357092.897,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
79,8.5258,1785357092.985,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
80,8.6143,1785357093.079,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
81,8.7088,1785357093.168,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
82,8.7975,1785357093.258,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
83,8.8870,1785357093.346,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
84,8.9748,1785357093.434,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
85,9.0629,1785357093.527,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
86,9.1643,1785357093.644,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
87,9.2762,1785357093.739,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
88,9.3680,1785357093.829,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
89,9.4580,1785357093.918,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
90,9.5470,1785357094.007,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
91,9.6359,1785357094.096,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
92,9.7248,1785357094.185,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
93,9.8135,1785357094.273,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
94,9.9021,1785357094.362,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
95,9.9907,1785357094.450,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
96,10.0793,1785357094.539,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
97,10.1678,1785357094.627,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
98,10.2558,1785357094.715,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
99,10.3442,1785357094.805,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
100,10.4341,1785357094.893,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
101,10.5225,1785357094.982,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
102,10.6112,1785357095.073,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
103,10.7023,1785357095.163,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
104,10.7917,1785357095.251,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
105,10.8799,1785357095.339,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
106,10.9687,1785357095.432,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
107,11.0611,1785357095.526,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
108,11.1555,1785357095.618,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
109,11.2470,1785357095.707,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
110,11.3358,1785357095.795,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
111,11.4241,1785357095.883,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
112,11.5124,1785357095.972,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
113,11.6008,1785357096.060,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
114,11.6890,1785357096.148,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
115,11.7773,1785357096.237,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
116,11.8658,1785357096.326,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
117,11.9551,1785357096.414,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
118,12.0429,1785357096.502,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
119,12.1310,1785357096.591,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
120,12.2201,1785357096.683,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
121,12.3118,1785357096.771,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
122,12.4005,1785357096.862,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
123,12.4907,1785357096.950,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
124,12.5793,1785357097.039,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
125,12.6679,1785357097.127,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
126,12.7562,1785357097.216,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
127,12.8444,1785357097.304,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
128,12.9328,1785357097.392,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
129,13.0250,1785357097.485,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
130,13.1140,1785357097.577,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
131,13.2059,1785357097.665,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
132,13.2943,1785357097.754,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
133,13.3830,1785357097.842,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
134,13.4738,1785357097.933,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
135,13.5668,1785357098.027,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
136,13.6577,1785357098.117,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
137,13.7492,1785357098.210,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
138,13.8421,1785357098.302,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
139,13.9344,1785357098.404,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
140,14.0356,1785357098.494,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
141,14.1331,1785357098.593,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
142,14.2319,1785357098.695,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
143,14.3324,1785357098.792,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
144,14.4288,1785357098.889,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
145,14.5264,1785357098.986,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
146,14.6270,1785357099.096,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
147,14.7372,1785357099.205,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
148,14.8456,1785357099.320,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
149,14.9607,1785357099.427,1,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
150,15.0670,1785357099.529,1,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
151,15.1641,1785357099.648,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
152,15.2790,1785357099.740,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
153,15.3702,1785357099.832,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
154,15.4627,1785357099.925,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
155,15.5556,1785357100.016,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
156,15.6465,1785357100.109,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
157,15.7390,1785357100.200,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
158,15.8293,1785357100.289,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
159,15.9198,1785357100.379,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
160,16.0098,1785357100.469,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
161,16.0999,1785357100.560,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
162,16.1892,1785357100.659,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
163,16.2891,1785357100.751,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
164,16.3809,1785357100.841,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
165,16.4706,1785357100.936,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
166,16.5661,1785357101.051,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
167,16.6816,1785357101.142,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
168,16.7717,1785357101.238,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
169,16.8667,1785357101.333,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
170,16.9624,1785357101.428,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
171,17.0581,1785357101.518,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
172,17.1470,1785357101.614,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
173,17.2456,1785357101.707,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
174,17.3379,1785357101.798,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
175,17.4291,1785357101.890,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
176,17.5208,1785357101.981,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
177,17.6126,1785357102.075,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
178,17.7054,1785357102.169,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
179,17.7994,1785357102.260,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
180,17.8910,1785357102.352,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
181,17.9834,1785357102.444,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
182,18.0759,1785357102.538,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
183,18.1691,1785357102.628,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
184,18.2590,1785357102.719,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
185,18.3492,1785357102.811,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
186,18.4411,1785357102.901,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
187,18.5307,1785357102.990,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
188,18.6204,1785357103.090,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
189,18.7199,1785357103.179,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
190,18.8089,1785357103.269,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
191,18.9000,1785357103.360,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
192,18.9895,1785357103.451,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
193,19.0807,1785357103.541,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
194,19.1753,1785357103.635,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
195,19.2662,1785357103.726,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
196,19.3553,1785357103.826,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
197,19.4567,1785357103.939,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
198,19.5696,1785357104.032,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
199,19.6617,1785357104.123,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
200,19.7527,1785357104.213,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
201,19.8425,1785357104.302,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
202,19.9421,1785357104.429,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
203,20.0847,1785357104.564,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
204,20.1933,1785357104.662,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
205,20.2991,1785357104.759,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
206,20.3949,1785357104.857,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
207,20.4927,1785357104.953,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
208,20.5892,1785357105.049,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
209,20.6815,1785357105.153,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
210,20.7830,1785357105.250,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
211,20.8800,1785357105.341,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
212,20.9698,1785357105.430,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
213,21.0597,1785357105.519,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
214,21.1484,1785357105.603,1,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
215,21.2323,1785357105.706,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
216,21.3545,1785357105.828,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
217,21.4645,1785357105.924,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
218,21.5595,1785357106.019,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
219,21.6518,1785357106.125,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
220,21.7618,1785357106.239,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
221,21.8793,1785357106.361,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
222,21.9954,1785357106.461,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
223,22.0913,1785357106.551,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
224,22.1806,1785357106.648,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
225,22.2843,1785357106.747,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
226,22.3829,1785357106.843,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
227,22.4788,1785357106.938,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
228,22.5680,1785357107.038,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
229,22.6709,1785357107.130,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
230,22.7663,1785357107.227,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
231,22.8565,1785357107.316,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
232,22.9448,1785357107.404,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
233,23.0339,1785357107.493,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
234,23.1226,1785357107.582,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
235,23.2119,1785357107.671,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
236,23.3006,1785357107.759,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
237,23.3889,1785357107.849,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
238,23.4786,1785357107.937,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
239,23.5672,1785357108.026,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
240,23.6572,1785357108.116,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
241,23.7460,1785357108.205,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
242,23.8348,1785357108.294,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
243,23.9236,1785357108.383,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
244,24.0125,1785357108.472,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
245,24.1015,1785357108.561,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
246,24.1913,1785357108.650,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
247,24.2798,1785357108.739,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
248,24.3686,1785357108.828,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
249,24.4632,1785357108.928,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
250,24.5575,1785357109.017,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
251,24.6468,1785357109.106,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
252,24.7358,1785357109.195,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
253,24.8249,1785357109.284,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
254,24.9138,1785357109.373,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
255,25.0028,1785357109.462,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
256,25.0919,1785357109.551,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
257,25.1812,1785357109.642,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
258,25.2723,1785357109.731,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
259,25.3607,1785357109.820,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
260,25.4493,1785357109.917,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
261,25.5468,1785357110.006,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
262,25.6354,1785357110.095,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
263,25.7244,1785357110.184,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
264,25.8132,1785357110.273,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
265,25.9023,1785357110.361,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
266,25.9912,1785357110.450,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
267,26.0798,1785357110.539,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
268,26.1684,1785357110.628,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
269,26.2634,1785357110.749,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
270,26.3814,1785357110.867,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
271,26.5024,1785357110.966,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
272,26.6015,1785357111.062,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
273,26.6971,1785357111.162,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
274,26.8237,1785357111.309,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
275,26.9392,1785357111.408,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
276,27.0391,1785357111.500,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
277,27.1298,1785357111.595,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
278,27.2247,1785357111.705,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
279,27.3359,1785357111.798,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
280,27.4291,1785357111.893,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
281,27.5234,1785357111.987,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
282,27.6235,1785357112.085,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
283,27.7159,1785357112.187,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
284,27.8346,1785357112.304,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
285,27.9342,1785357112.397,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
286,28.0281,1785357112.489,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
287,28.1200,1785357112.581,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
288,28.2167,1785357112.679,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
289,28.3099,1785357112.804,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
290,28.4398,1785357112.922,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
291,28.5526,1785357113.047,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
292,28.6803,1785357113.163,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
293,28.8102,1785357113.375,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
294,29.0355,1785357113.547,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
295,29.1872,1785357113.688,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
296,29.3979,1785357113.912,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
297,29.5457,1785357114.050,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
298,29.6826,1785357114.215,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
299,29.8668,1785357114.389,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
300,30.0487,1785357114.583,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
301,30.2451,1785357114.756,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
302,30.3938,1785357114.915,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
303,30.5506,1785357115.040,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
304,30.6719,1785357115.153,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
