frame,t_s,t_unix_s,n_ref,green_x_m,green_y_m,red_x_m,red_y_m,x_m,y_m,heading_deg,vx_m_s,vy_m_s,u_m_s,v_m_s,r_deg_s,scale,ref_world_rms_m,ref_range_rms_m,color_spacing_m,motion_reset,homography_state,reference_method
0,0.2731,1785357084.767,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
1,0.6493,1785357085.225,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
2,0.9129,1785357085.398,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
3,1.0474,1785357085.530,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
4,1.1648,1785357085.644,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
5,1.2758,1785357085.748,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
6,1.3786,1785357085.850,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
7,1.4815,1785357085.952,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
8,1.5847,1785357086.060,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
9,1.6927,1785357086.159,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
10,1.7907,1785357086.255,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
11,1.8865,1785357086.354,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
12,1.9865,1785357086.452,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
13,2.0839,1785357086.559,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
14,2.1915,1785357086.655,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
15,2.2871,1785357086.760,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
16,2.3930,1785357086.857,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
17,2.4887,1785357086.953,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
18,2.5858,1785357087.050,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
19,2.6824,1785357087.146,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
20,2.7780,1785357087.244,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
21,2.8753,1785357087.340,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
22,2.9716,1785357087.434,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
23,3.0653,1785357087.535,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
24,3.1679,1785357087.640,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
25,3.2717,1785357087.737,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
26,3.3689,1785357087.835,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
27,3.4646,1785357087.932,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
28,3.5675,1785357088.027,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
29,3.6630,1785357088.136,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
30,3.7785,1785357088.243,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
31,3.8787,1785357088.338,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
32,3.9732,1785357088.436,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
33,4.0712,1785357088.531,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
34,4.1638,1785357088.626,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
35,4.2608,1785357088.720,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
36,4.3562,1785357088.817,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
37,4.4529,1785357088.912,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
38,4.5476,1785357089.008,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
39,4.6379,1785357089.097,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
40,4.7257,1785357089.185,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
41,4.8142,1785357089.274,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
42,4.9028,1785357089.373,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
43,5.0097,1785357089.471,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
44,5.1069,1785357089.566,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
45,5.2022,1785357089.666,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
46,5.3020,1785357089.761,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
47,5.3971,1785357089.857,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
48,5.4926,1785357089.955,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
