frame,t_s,t_unix_s,n_ref,green_x_m,green_y_m,red_x_m,red_y_m,x_m,y_m,heading_deg,vx_m_s,vy_m_s,u_m_s,v_m_s,r_deg_s,scale,ref_world_rms_m,ref_range_rms_m,color_spacing_m,motion_reset,homography_state,reference_method,calibration_debug_schema_version,frame_width_px,frame_height_px,ref_tag_size_m,visible_ref_ids,candidate_available,candidate_accepted,candidate_reject_reason,candidate_method,candidate_world_rms_m,candidate_pnp_baseline_error_m,pnp_baseline_tag_a,pnp_baseline_tag_b,pnp_baseline_measured_m,pnp_baseline_expected_m,accepted_calibration_samples,max_ref_world_error_m,max_ref_range_error_m,max_ref_pose_reproj_error_px,geometry_distortion_mode,camera_K_00,camera_K_01,camera_K_02,camera_K_10,camera_K_11,camera_K_12,camera_K_20,camera_K_21,camera_K_22,camera_dist_0,camera_dist_1,camera_dist_2,camera_dist_3,camera_dist_4,geometry_dist_0,geometry_dist_1,geometry_dist_2,geometry_dist_3,geometry_dist_4,ref_101_detected,ref_101_target_x_m,ref_101_target_y_m,ref_101_center_px_x,ref_101_center_px_y,ref_101_pnp_pose_valid,ref_101_pnp_reproj_rms_px,ref_101_pnp_center_px_x,ref_101_pnp_center_px_y,ref_101_corner0_px_x,ref_101_corner0_px_y,ref_101_corner1_px_x,ref_101_corner1_px_y,ref_101_corner2_px_x,ref_101_corner2_px_y,ref_101_corner3_px_x,ref_101_corner3_px_y,ref_101_cam_x_m,ref_101_cam_y_m,ref_101_cam_z_m,ref_101_range_m,ref_101_map_x_m,ref_101_map_y_m,ref_102_detected,ref_102_target_x_m,ref_102_target_y_m,ref_102_center_px_x,ref_102_center_px_y,ref_102_pnp_pose_valid,ref_102_pnp_reproj_rms_px,ref_102_pnp_center_px_x,ref_102_pnp_center_px_y,ref_102_corner0_px_x,ref_102_corner0_px_y,ref_102_corner1_px_x,ref_102_corner1_px_y,ref_102_corner2_px_x,ref_102_corner2_px_y,ref_102_corner3_px_x,ref_102_corner3_px_y,ref_102_cam_x_m,ref_102_cam_y_m,ref_102_cam_z_m,ref_102_range_m,ref_102_map_x_m,ref_102_map_y_m,candidate_H_00,candidate_H_01,candidate_H_02,candidate_H_10,candidate_H_11,candidate_H_12,candidate_H_20,candidate_H_21,candidate_H_22,active_map_H_00,active_map_H_01,active_map_H_02,active_map_H_10,active_map_H_11,active_map_H_12,active_map_H_20,active_map_H_21,active_map_H_22
0,0.2640,1785358752.427,2,,,,,,,,,,,,,,,,,0,acquiring:1/30,none,2,1920,1200,0.200000,101;102,1,1,,2-tag corner homography,0.011452,0.492160,101,102,4.752160,4.260000,1,0.050000,0.600000,5.000000,raw-zero-distortion,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1,0.000000,0.000000,73.217,750.623,1,1.161,73.321,751.426,65.507,791.573,8.851,779.529,79.694,716.216,135.172,722.799,-2.841219,0.617867,1.796669,3.417938,-0.002895,0.002242,1,4.260000,0.000000,1773.103,886.589,1,1.212,1772.250,886.674,1843.369,934.507,1761.195,935.506,1705.254,840.319,1783.584,843.529,1.894202,0.837966,1.464439,2.536684,4.262618,0.000215,0.0113015021,0.0113116545,-9.3300756012,0.0008902475,-0.0111898372,8.3433288396,0.0001284859,0.0041023911,1.0000000000,,,,,,,,,
1,0.7148,1785358752.908,2,,,,,,,,,,,,,,,,,0,acquiring:2/30,none,2,1920,1200,0.200000,101;102,1,1,,2-tag corner homography,0.011802,0.489001,101,102,4.749001,4.260000,2,0.050000,0.600000,5.000000,raw-zero-distortion,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1,0.000000,0.000000,73.177,750.844,1,0.978,73.194,751.601,65.711,791.467,8.814,780.217,79.511,716.381,134.722,722.757,-2.836448,0.617274,1.793407,3.412150,-0.002567,0.002133,1,4.260000,0.000000,1773.103,886.608,1,1.191,1772.273,886.717,1843.222,934.488,1761.192,935.525,1705.459,840.420,1783.582,843.570,1.896057,0.838870,1.465828,2.539171,4.262616,0.000261,0.0112871043,0.0112612496,-9.2918640194,0.0008865878,-0.0111558093,8.3200898069,0.0001339117,0.0040830414,1.0000000000,,,,,,,,,
2,0.9224,1785358753.058,2,,,,,,,,,,,,,,,,,0,acquiring:3/30,none,2,1920,1200,0.200000,101;102,1,1,,2-tag corner homography,0.011704,0.498440,101,102,4.758440,4.260000,3,0.050000,0.600000,5.000000,raw-zero-distortion,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1,0.000000,0.000000,72.973,751.194,1,0.943,73.216,751.664,65.349,791.413,9.234,780.130,79.580,716.337,134.714,723.165,-2.845237,0.619395,1.799008,3.422784,-0.002401,0.001314,1,4.260000,0.000000,1773.417,886.663,1,1.339,1772.435,886.649,1843.196,934.424,1761.038,935.444,1705.514,840.185,1784.336,843.633,1.896455,0.838698,1.465826,2.539410,4.262776,-0.000010,0.0113083169,0.0112741641,-9.3040590318,0.0008869361,-0.0111729245,8.3336609574,0.0001439045,0.0040734071,1.0000000000,,,,,,,,,
3,1.0414,1785358753.172,2,,,,,,,,,,,,,,,,,0,acquiring:4/30,none,2,1920,1200,0.200000,101;102,1,1,,2-tag corner homography,0.011394,0.495562,101,102,4.755562,4.260000,4,0.050000,0.600000,5.000000,raw-zero-distortion,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1,0.000000,0.000000,73.203,750.955,1,0.889,73.183,751.677,65.607,791.520,8.630,780.084,79.687,716.328,134.768,723.183,-2.842789,0.618879,1.797396,3.419809,-0.002344,0.002044,1,4.260000,0.000000,1773.444,886.506,1,1.342,1772.487,886.588,1843.421,934.334,1761.008,935.438,1705.538,840.093,1784.350,843.592,1.896095,0.838332,1.465447,2.538801,4.262820,0.000224,0.0112806385,0.0113330356,-9.3459246086,0.0008855447,-0.0111609509,8.3248711811,0.0001366573,0.0040779206,1.0000000000,,,,,,,,,
4,1.1618,1785358753.298,2,,,,,,,,,,,,,,,,,0,acquiring:5/30,none,2,1920,1200,0.200000,101;102,1,1,,2-tag corner homography,0.011585,0.513630,101,102,4.773630,4.260000,5,0.050000,0.600000,5.000000,raw-zero-distortion,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1,0.000000,0.000000,73.052,750.666,1,1.106,73.047,751.545,65.450,791.469,8.820,779.448,79.422,716.479,134.483,723.140,-2.859877,0.622106,1.807937,3.440137,-0.002788,0.002506,1,4.260000,0.000000,1773.391,886.507,1,1.232,1772.542,886.672,1843.329,934.485,1760.803,935.454,1705.910,840.215,1784.427,843.597,1.896540,0.838677,1.465686,2.539386,4.262694,0.000367,0.0111828324,0.0111674655,-9.2112131823,0.0008804441,-0.0110819882,8.2646608234,0.0001385271,0.0040250992,1.0000000000,,,,,,,,,
5,1.2760,1785358753.424,2,,,,,,,,,,,,,,,,,0,acquiring:6/30,none,2,1920,1200,0.200000,101;102,1,1,,2-tag corner homography,0.011442,0.495152,101,102,4.755152,4.260000,6,0.050000,0.600000,5.000000,raw-zero-distortion,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1,0.000000,0.000000,72.877,751.580,1,1.000,73.326,751.849,65.482,791.526,9.247,780.390,79.370,716.505,135.184,723.368,-2.844074,0.619775,1.798483,3.421610,-0.002388,0.000720,1,4.260000,0.000000,1773.520,886.668,1,1.396,1772.495,886.644,1843.253,934.452,1761.062,935.531,1705.512,840.065,1784.493,843.631,1.894295,0.837667,1.464041,2.536426,4.262853,-0.000027,0.0112764185,0.0112658760,-9.2987088352,0.0008831951,-0.0111413265,8.3121564666,0.0001403384,0.0040652303,1.0000000000,,,,,,,,,
6,1.4044,1785358753.565,2,,,,,,,,,,,,,,,,,0,acquiring:6/30,none,2,1920,1200,0.200000,101;102,1,0,world_rms>0.050,2-tag corner homography,0.104327,0.476526,101,102,4.736526,4.260000,6,0.050000,0.600000,5.000000,raw-zero-distortion,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1,0.000000,0.000000,72.949,751.378,1,1.365,73.666,751.606,65.629,791.482,9.190,780.353,79.309,716.530,136.399,722.543,-2.824132,0.614923,1.786523,3.397870,,,1,4.260000,0.000000,1773.572,886.727,1,1.328,1772.603,886.723,1843.404,934.512,1761.297,935.548,1705.666,840.260,1784.395,843.680,1.896193,0.838583,1.465300,2.538872,,,0.0109330935,0.0227321319,-17.8821431578,0.0003876484,-0.0046123085,3.4217676958,0.0001321398,0.0043431152,1.0000000000,,,,,,,,,
7,1.5564,1785358753.696,2,,,,,,,,,,,,,,,,,0,acquiring:7/30,none,2,1920,1200,0.200000,101;102,1,1,,2-tag corner homography,0.011580,0.496459,101,102,4.756459,4.260000,7,0.050000,0.600000,5.000000,raw-zero-distortion,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1,0.000000,0.000000,73.169,751.034,1,1.030,73.361,751.635,65.559,791.545,9.254,779.974,79.683,716.354,134.944,723.062,-2.843493,0.619024,1.798183,3.420834,-0.002605,0.001682,1,4.260000,0.000000,1773.536,886.710,1,1.342,1772.547,886.677,1843.284,934.425,1761.172,935.532,1705.612,840.243,1784.454,843.594,1.896232,0.838547,1.465438,2.538969,4.262760,-0.000068,0.0113153461,0.0112894191,-9.3172868830,0.0008879592,-0.0111813506,8.3394601335,0.0001401505,0.0040845735,1.0000000000,,,,,,,,,
8,1.6867,1785358753.818,2,,,,,,,,,,,,,,,,,0,acquiring:8/30,none,2,1920,1200,0.200000,101;102,1,1,,2-tag corner homography,0.011875,0.490743,101,102,4.750743,4.260000,8,0.050000,0.600000,5.000000,raw-zero-distortion,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1,0.000000,0.000000,73.012,751.036,1,1.008,73.215,751.606,65.392,791.452,8.993,780.176,79.552,716.350,134.897,722.868,-2.837135,0.617454,1.793881,3.413004,-0.002614,0.001466,1,4.260000,0.000000,1773.553,886.629,1,1.416,1772.515,886.614,1843.367,934.317,1761.264,935.450,1705.453,840.112,1784.360,843.694,1.897120,0.838817,1.466185,2.540153,4.262892,0.000068,0.0116268785,0.0119903634,-9.8650785643,0.0009144661,-0.0115116866,8.5850808520,0.0001405584,0.0042494476,1.0000000000,,,,,,,,,
9,1.8039,1785358753.941,2,,,,,,,,,,,,,,,,,0,acquiring:9/30,none,2,1920,1200,0.200000,101;102,1,1,,2-tag corner homography,0.012596,0.503546,101,102,4.763546,4.260000,9,0.050000,0.600000,5.000000,raw-zero-distortion,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1,0.000000,0.000000,72.825,751.100,1,1.026,72.971,751.757,65.434,791.456,8.718,780.098,79.128,716.687,134.576,723.169,-2.852703,0.621140,1.803254,3.431538,-0.002712,0.001629,1,4.260000,0.000000,1773.530,886.494,1,1.389,1772.539,886.558,1843.403,934.328,1761.303,935.508,1705.568,839.968,1784.241,843.561,1.893803,0.837187,1.463576,2.535631,4.262889,0.000367,0.0114319620,0.0120829266,-9.9192489112,0.0009003587,-0.0113459387,8.4631079590,0.0001405470,0.0041655311,1.0000000000,,,,,,,,,
