frame,t_s,t_unix_s,n_ref,green_x_m,green_y_m,red_x_m,red_y_m,x_m,y_m,heading_deg,vx_m_s,vy_m_s,u_m_s,v_m_s,r_deg_s,scale,ref_world_rms_m,ref_range_rms_m,color_spacing_m,motion_reset,homography_state,reference_method,calibration_debug_schema_version,frame_width_px,frame_height_px,ref_tag_size_m,visible_ref_ids,candidate_available,candidate_accepted,candidate_reject_reason,candidate_method,candidate_world_rms_m,candidate_pnp_baseline_error_m,pnp_baseline_tag_a,pnp_baseline_tag_b,pnp_baseline_measured_m,pnp_baseline_expected_m,accepted_calibration_samples,max_ref_world_error_m,max_ref_range_error_m,camera_K_00,camera_K_01,camera_K_02,camera_K_10,camera_K_11,camera_K_12,camera_K_20,camera_K_21,camera_K_22,camera_dist_0,camera_dist_1,camera_dist_2,camera_dist_3,camera_dist_4,ref_101_detected,ref_101_target_x_m,ref_101_target_y_m,ref_101_center_px_x,ref_101_center_px_y,ref_101_corner0_px_x,ref_101_corner0_px_y,ref_101_corner1_px_x,ref_101_corner1_px_y,ref_101_corner2_px_x,ref_101_corner2_px_y,ref_101_corner3_px_x,ref_101_corner3_px_y,ref_101_cam_x_m,ref_101_cam_y_m,ref_101_cam_z_m,ref_101_range_m,ref_101_map_x_m,ref_101_map_y_m,ref_102_detected,ref_102_target_x_m,ref_102_target_y_m,ref_102_center_px_x,ref_102_center_px_y,ref_102_corner0_px_x,ref_102_corner0_px_y,ref_102_corner1_px_x,ref_102_corner1_px_y,ref_102_corner2_px_x,ref_102_corner2_px_y,ref_102_corner3_px_x,ref_102_corner3_px_y,ref_102_cam_x_m,ref_102_cam_y_m,ref_102_cam_z_m,ref_102_range_m,ref_102_map_x_m,ref_102_map_y_m,candidate_H_00,candidate_H_01,candidate_H_02,candidate_H_10,candidate_H_11,candidate_H_12,candidate_H_20,candidate_H_21,candidate_H_22,active_map_H_00,active_map_H_01,active_map_H_02,active_map_H_10,active_map_H_11,active_map_H_12,active_map_H_20,active_map_H_21,active_map_H_22
105,10.9496,1785357765.795,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none,1,1920,1200,0.200000,101;102,1,0,world_rms>0.050;pnp_baseline_error>0.500,2-tag corner homography,0.376215,0.899849,101,102,3.360151,4.260000,0,0.050000,0.500000,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,1,0.000000,0.000000,322.115,707.194,65.607,791.568,9.551,780.033,79.806,716.062,134.979,723.212,-2.840103,0.618326,1.796259,3.416878,,,1,4.260000,0.000000,1689.950,854.113,1843.465,934.633,1760.487,935.340,1705.347,840.261,1784.244,843.372,-1.230931,-0.537674,-0.917565,1.626718,,,0.0187288876,0.0185246218,-15.2966189043,0.0014658200,-0.0174971940,13.0436467229,0.0007215773,0.0066080948,1.0000000000,,,,,,,,,
106,11.0418,1785357765.887,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none,1,1920,1200,0.200000,101;102,1,0,world_rms>0.050;pnp_baseline_error>0.500,2-tag corner homography,0.382455,0.895039,101,102,3.364961,4.260000,0,0.050000,0.500000,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,1,0.000000,0.000000,322.137,707.230,65.831,791.577,9.743,780.003,79.616,716.159,134.780,723.327,-2.847586,0.620125,1.800984,3.425908,,,1,4.260000,0.000000,1689.972,854.109,1843.487,934.489,1760.615,935.369,1705.966,840.314,1784.300,843.504,-1.221622,-0.533559,-0.909775,1.613920,,,0.0255284151,0.0251473881,-20.7733199430,0.0019587583,-0.0233650812,17.4178442464,0.0010393131,0.0092995191,1.0000000000,,,,,,,,,
107,11.1356,1785357765.981,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none,1,1920,1200,0.200000,101;102,1,0,world_rms>0.050;pnp_baseline_error>0.500,2-tag corner homography,0.383283,0.907489,101,102,3.352511,4.260000,0,0.050000,0.500000,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,1,0.000000,0.000000,322.120,707.265,65.757,791.552,9.835,780.385,79.524,716.267,134.978,723.040,-2.837066,0.617963,1.794396,3.413309,,,1,4.260000,0.000000,1689.988,854.073,1843.625,934.520,1760.654,935.417,1705.970,840.363,1784.452,843.397,-1.217118,-0.531512,-0.906308,1.607879,,,0.0282264269,0.0278952288,-23.0387428762,0.0021483603,-0.0256322326,19.1084739460,0.0011638203,0.0103741913,1.0000000000,,,,,,,,,
108,11.2257,1785357766.070,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none,1,1920,1200,0.200000,101;102,1,0,world_rms>0.050;pnp_baseline_error>0.500,2-tag corner homography,0.402842,0.889620,101,102,3.370380,4.260000,0,0.050000,0.500000,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,1,0.000000,0.000000,322.050,707.132,65.949,791.583,9.631,779.474,79.790,716.077,134.750,723.250,-2.853705,0.620976,1.804932,3.433224,,,1,4.260000,0.000000,1689.999,854.041,1843.158,934.174,1760.597,935.298,1706.094,840.268,1784.160,843.371,-1.218014,-0.531840,-0.907077,1.609099,,,0.0299195830,0.0249159327,-20.9170159642,0.0021388040,-0.0255803233,19.0698142099,0.0012803205,0.0107952009,1.0000000000,,,,,,,,,
109,11.3179,1785357766.162,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none,1,1920,1200,0.200000,101;102,1,0,world_rms>0.050;pnp_baseline_error>0.500,2-tag corner homography,0.366409,0.894494,101,102,3.365506,4.260000,0,0.050000,0.500000,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,1,0.000000,0.000000,322.279,707.225,65.668,791.617,9.572,780.239,79.487,716.287,134.649,723.198,-2.842839,0.619186,1.797700,3.420066,,,1,4.260000,0.000000,1689.951,854.090,1843.462,934.495,1760.689,935.363,1705.054,840.178,1784.430,843.552,-1.239528,-0.541396,-0.924262,1.638231,,,0.0062075718,0.0060418092,-4.9961285718,0.0005122632,-0.0061205237,4.5664756836,0.0002850306,0.0013482911,1.0000000000,,,,,,,,,
110,11.4111,1785357766.255,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none,1,1920,1200,0.200000,101;102,1,0,world_rms>0.050;pnp_baseline_error>0.500,2-tag corner homography,0.405525,0.887896,101,102,3.372104,4.260000,0,0.050000,0.500000,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,1,0.000000,0.000000,322.255,707.230,65.605,791.528,9.867,779.914,79.260,716.441,134.755,723.392,-2.857277,0.622330,1.806880,3.437461,,,1,4.260000,0.000000,1689.981,854.097,1843.386,934.393,1760.550,935.401,1706.185,840.412,1784.246,843.385,-1.210774,-0.528784,-0.901450,1.599437,,,0.0039984558,0.0040059907,-3.3026211140,0.0002336881,-0.0027812076,2.0770559451,0.0003903111,0.0000633576,1.0000000000,,,,,,,,,
111,11.5032,1785357766.347,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none,1,1920,1200,0.200000,101;102,1,0,world_rms>0.050;pnp_baseline_error>0.500,2-tag corner homography,0.383860,0.902631,101,102,3.357369,4.260000,0,0.050000,0.500000,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,1,0.000000,0.000000,322.277,707.243,65.506,791.618,9.548,780.247,79.340,716.393,134.982,723.182,-2.842281,0.619137,1.797366,3.419417,,,1,4.260000,0.000000,1689.997,854.058,1843.325,934.411,1760.656,935.355,1706.147,840.299,1784.374,843.361,-1.215749,-0.530877,-0.905187,1.606001,,,0.0278140974,0.0275715510,-22.7614454938,0.0021213848,-0.0253271566,18.8829285684,0.0011495522,0.0102055912,1.0000000000,,,,,,,,,
112,11.5959,1785357766.441,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none,1,1920,1200,0.200000,101;102,1,0,world_rms>0.050;pnp_baseline_error>0.500,2-tag corner homography,0.372224,0.902999,101,102,3.357001,4.260000,0,0.050000,0.500000,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,1,0.000000,0.000000,322.155,707.212,65.636,791.551,9.583,780.080,79.837,716.193,134.771,723.214,-2.843075,0.619080,1.798077,3.420441,,,1,4.260000,0.000000,1689.993,854.068,1843.556,934.591,1760.545,935.258,1706.115,840.434,1784.410,843.316,-1.210897,-0.528779,-0.901529,1.599573,,,0.0095101884,0.0093839151,-7.7503990982,0.0007762925,-0.0092541832,6.9011237166,0.0004080867,0.0027233255,1.0000000000,,,,,,,,,
113,11.6887,1785357766.535,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none,1,1920,1200,0.200000,101;102,1,0,world_rms>0.050;pnp_baseline_error>0.500,2-tag corner homography,0.385679,0.910316,101,102,3.349684,4.260000,0,0.050000,0.500000,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,1,0.000000,0.000000,322.002,707.243,65.751,791.560,9.702,780.199,80.214,715.922,134.860,723.230,-2.834980,0.617324,1.793287,3.410877,,,1,4.260000,0.000000,1689.983,854.090,1843.454,934.549,1760.593,935.324,1706.112,840.367,1784.315,843.369,-1.214662,-0.530470,-0.904400,1.604600,,,0.0432476432,0.0429410275,-35.4505637231,0.0032350875,-0.0385685266,28.7464733436,0.0018146582,0.0164336464,1.0000000000,,,,,,,,,
114,11.7834,1785357766.628,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none,1,1920,1200,0.200000,101;102,1,0,world_rms>0.050;pnp_baseline_error>0.500,2-tag corner homography,0.403200,0.908905,101,102,3.351095,4.260000,0,0.050000,0.500000,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,1,0.000000,0.000000,322.052,707.191,65.749,791.567,9.701,780.152,79.743,716.131,135.017,722.902,-2.834594,0.617065,1.792897,3.410304,,,1,4.260000,0.000000,1689.984,854.079,1843.497,934.474,1760.656,935.415,1705.965,840.260,1784.313,843.417,-1.221580,-0.533477,-0.909746,1.613845,,,0.7052191570,0.6294745257,-524.8178299157,0.0479061235,-0.5727807482,426.9462787513,0.0305922101,0.2803789933,1.0000000000,,,,,,,,,
