frame,t_s,t_unix_s,n_ref,green_x_m,green_y_m,red_x_m,red_y_m,x_m,y_m,heading_deg,vx_m_s,vy_m_s,u_m_s,v_m_s,r_deg_s,scale,ref_world_rms_m,ref_range_rms_m,color_spacing_m,motion_reset,homography_state,reference_method,calibration_debug_schema_version,frame_width_px,frame_height_px,ref_tag_size_m,visible_ref_ids,candidate_available,candidate_accepted,candidate_reject_reason,candidate_method,candidate_world_rms_m,candidate_pnp_baseline_error_m,pnp_baseline_tag_a,pnp_baseline_tag_b,pnp_baseline_measured_m,pnp_baseline_expected_m,accepted_calibration_samples,max_ref_world_error_m,max_ref_range_error_m,camera_K_00,camera_K_01,camera_K_02,camera_K_10,camera_K_11,camera_K_12,camera_K_20,camera_K_21,camera_K_22,camera_dist_0,camera_dist_1,camera_dist_2,camera_dist_3,camera_dist_4,ref_101_detected,ref_101_target_x_m,ref_101_target_y_m,ref_101_center_px_x,ref_101_center_px_y,ref_101_corner0_px_x,ref_101_corner0_px_y,ref_101_corner1_px_x,ref_101_corner1_px_y,ref_101_corner2_px_x,ref_101_corner2_px_y,ref_101_corner3_px_x,ref_101_corner3_px_y,ref_101_cam_x_m,ref_101_cam_y_m,ref_101_cam_z_m,ref_101_range_m,ref_101_map_x_m,ref_101_map_y_m,ref_102_detected,ref_102_target_x_m,ref_102_target_y_m,ref_102_center_px_x,ref_102_center_px_y,ref_102_corner0_px_x,ref_102_corner0_px_y,ref_102_corner1_px_x,ref_102_corner1_px_y,ref_102_corner2_px_x,ref_102_corner2_px_y,ref_102_corner3_px_x,ref_102_corner3_px_y,ref_102_cam_x_m,ref_102_cam_y_m,ref_102_cam_z_m,ref_102_range_m,ref_102_map_x_m,ref_102_map_y_m,candidate_H_00,candidate_H_01,candidate_H_02,candidate_H_10,candidate_H_11,candidate_H_12,candidate_H_20,candidate_H_21,candidate_H_22,active_map_H_00,active_map_H_01,active_map_H_02,active_map_H_10,active_map_H_11,active_map_H_12,active_map_H_20,active_map_H_21,active_map_H_22
0,0.2758,1785357755.251,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none,1,1920,1200,0.200000,101;102,1,0,world_rms>0.050;pnp_baseline_error>0.500,2-tag corner homography,0.369706,0.894853,101,102,3.365147,4.260000,0,0.050000,0.500000,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,1,0.000000,0.000000,321.998,706.969,65.236,791.437,9.537,779.253,80.445,715.957,134.743,722.872,-2.845427,0.618456,1.799646,3.423108,,,1,4.260000,0.000000,1689.874,854.341,1842.848,934.335,1760.696,935.274,1705.811,840.641,1784.366,844.179,-1.231037,-0.538169,-0.917002,1.626644,,,0.0094396929,0.0093733750,-7.7342707582,0.0007801910,-0.0092636701,6.9044369642,0.0003932803,0.0027206536,1.0000000000,,,,,,,,,
1,0.8527,1785357755.753,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none,1,1920,1200,0.200000,101;102,1,0,world_rms>0.050;pnp_baseline_error>0.500,2-tag corner homography,0.373420,0.902165,101,102,3.357835,4.260000,0,0.050000,0.500000,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,1,0.000000,0.000000,322.030,707.335,65.702,791.647,9.553,780.300,80.171,716.148,135.118,723.350,-2.836028,0.617957,1.793981,3.412227,,,1,4.260000,0.000000,1689.966,854.067,1843.534,934.415,1760.721,935.431,1705.164,840.193,1784.495,843.533,-1.236562,-0.540043,-0.921861,1.634185,,,0.0173228571,0.0171835440,-14.1909031687,0.0013638599,-0.0163015849,12.1548430201,0.0006541340,0.0060552491,1.0000000000,,,,,,,,,
2,1.0231,1785357755.919,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none,1,1920,1200,0.200000,101;102,1,0,world_rms>0.050;pnp_baseline_error>0.500,2-tag corner homography,0.378162,0.899207,101,102,3.360793,4.260000,0,0.050000,0.500000,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,1,0.000000,0.000000,322.180,707.250,65.575,791.650,9.614,780.161,79.869,716.136,134.756,723.331,-2.841057,0.618819,1.796789,3.418040,,,1,4.260000,0.000000,1689.974,854.078,1843.647,934.563,1760.675,935.434,1705.538,840.212,1784.473,843.472,-1.230697,-0.537479,-0.916999,1.626157,,,0.0197282029,0.0194830787,-16.0914713296,0.0015363287,-0.0183467641,13.6787701808,0.0007759007,0.0069882355,1.0000000000,,,,,,,,,
3,1.1650,1785357756.033,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none,1,1920,1200,0.200000,101;102,1,0,world_rms>0.050;pnp_baseline_error>0.500,2-tag corner homography,0.385363,0.901857,101,102,3.358143,4.260000,0,0.050000,0.500000,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,1,0.000000,0.000000,322.071,707.275,65.586,791.439,9.614,780.059,79.711,716.369,135.322,723.331,-2.847531,0.620245,1.801119,3.425955,,,1,4.260000,0.000000,1689.966,854.153,1843.397,934.412,1760.519,935.137,1706.359,840.845,1784.385,843.553,-1.196847,-0.522800,-0.890686,1.580849,,,0.0398995525,0.0398531870,-32.8837688727,0.0030183032,-0.0359519574,26.7995832842,0.0016789269,0.0150761872,1.0000000000,,,,,,,,,
4,1.2886,1785357756.137,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none,1,1920,1200,0.200000,101;102,1,0,world_rms>0.050;pnp_baseline_error>0.500,2-tag corner homography,0.378919,0.929043,101,102,3.330957,4.260000,0,0.050000,0.500000,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,1,0.000000,0.000000,322.256,707.207,65.750,792.093,9.413,780.500,79.612,716.049,134.674,722.623,-2.815776,0.613197,1.780613,3.387505,,,1,4.260000,0.000000,1690.038,853.904,1843.960,934.542,1760.462,935.510,1705.448,840.058,1784.266,842.846,-1.220544,-0.532694,-0.909637,1.612740,,,0.0194352650,0.0190242065,-15.7230727738,0.0014954736,-0.0178851783,13.3344711374,0.0007635152,0.0068636947,1.0000000000,,,,,,,,,
5,1.3869,1785357756.251,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none,1,1920,1200,0.200000,101;102,1,0,world_rms>0.050;pnp_baseline_error>0.500,2-tag corner homography,0.369965,0.904850,101,102,3.355150,4.260000,0,0.050000,0.500000,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,1,0.000000,0.000000,322.057,707.147,65.671,791.613,9.678,779.854,79.738,716.272,135.001,722.794,-2.839540,0.617961,1.795974,3.416194,,,1,4.260000,0.000000,1689.945,854.153,1843.513,934.569,1760.529,935.407,1705.919,840.393,1783.161,843.075,-1.215992,-0.531208,-0.905976,1.606739,,,0.0081289504,0.0080710946,-6.6618658832,0.0006669948,-0.0079461014,5.9251958337,0.0003645233,0.0021354252,1.0000000000,,,,,,,,,
6,1.5154,1785357756.392,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none,1,1920,1200,0.200000,101;102,1,0,world_rms>0.050;pnp_baseline_error>0.500,2-tag corner homography,0.381774,0.902419,101,102,3.357581,4.260000,0,0.050000,0.500000,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,1,0.000000,0.000000,322.228,707.217,65.440,791.565,9.563,780.205,79.505,716.219,135.016,723.229,-2.840620,0.618628,1.796387,3.417431,,,1,4.260000,0.000000,1689.951,854.128,1843.692,934.541,1760.552,935.374,1705.734,840.374,1783.168,843.098,-1.220538,-0.533152,-0.909548,1.612836,,,0.0247465514,0.0245199644,-20.2428480990,0.0019024414,-0.0227148671,16.9343067147,0.0010022951,0.0089946808,1.0000000000,,,,,,,,,
7,1.6387,1785357756.509,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none,1,1920,1200,0.200000,101;102,1,0,world_rms>0.050;pnp_baseline_error>0.500,2-tag corner homography,0.385572,0.890589,101,102,3.369411,4.260000,0,0.050000,0.500000,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,1,0.000000,0.000000,322.033,707.096,65.797,791.449,9.633,779.280,79.728,716.156,134.930,723.280,-2.859907,0.622162,1.808855,3.440655,,,1,4.260000,0.000000,1689.950,854.195,1843.366,934.337,1760.646,935.334,1706.349,841.048,1784.248,843.481,-1.190136,-0.519950,-0.885654,1.571991,,,0.0360111595,0.0356881970,-29.4567720095,0.0027409864,-0.0325738912,24.2732746616,0.0015065809,0.0135077830,1.0000000000,,,,,,,,,
8,1.7587,1785357756.607,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none,1,1920,1200,0.200000,101;102,1,0,world_rms>0.050;pnp_baseline_error>0.500,2-tag corner homography,0.380922,0.917042,101,102,3.342958,4.260000,0,0.050000,0.500000,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,1,0.000000,0.000000,322.344,707.186,65.525,791.857,9.405,780.421,79.456,716.217,134.644,722.817,-2.827085,0.615643,1.787574,3.401007,,,1,4.260000,0.000000,1690.003,853.985,1843.862,934.609,1760.487,935.591,1705.411,840.163,1784.010,842.853,-1.220425,-0.532815,-0.909657,1.612701,,,0.0225590553,0.0222147202,-18.3479388659,0.0017272657,-0.0206518863,15.3973103917,0.0008968513,0.0081298852,1.0000000000,,,,,,,,,
9,1.8610,1785357756.745,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none,1,1920,1200,0.200000,101;102,1,0,world_rms>0.050;pnp_baseline_error>0.500,2-tag corner homography,0.383983,0.899090,101,102,3.360910,4.260000,0,0.050000,0.500000,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,1,0.000000,0.000000,322.187,707.185,65.554,791.593,9.718,779.972,79.651,716.133,134.749,723.250,-2.845043,0.619424,1.799235,3.422748,,,1,4.260000,0.000000,1689.990,854.068,1843.520,934.498,1760.700,935.452,1706.099,840.243,1784.063,843.271,-1.217647,-0.531732,-0.906711,1.608579,,,0.0270090463,0.0266523980,-22.0101875767,0.0020622583,-0.0246012467,18.3385648436,0.0011197270,0.0098663040,1.0000000000,,,,,,,,,
10,1.9999,1785357756.853,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none,1,1920,1200,0.200000,101;102,1,0,world_rms>0.050;pnp_baseline_error>0.500,2-tag corner homography,0.384782,0.896414,101,102,3.363586,4.260000,0,0.050000,0.500000,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,1,0.000000,0.000000,322.084,707.270,65.813,791.434,9.762,780.193,79.878,716.226,134.792,723.329,-2.846312,0.619971,1.800320,3.424472,,,1,4.260000,0.000000,1690.006,854.029,1843.074,933.853,1760.865,935.294,1706.001,840.400,1784.539,843.664,-1.221499,-0.533333,-0.909585,1.613644,,,0.0632124734,0.0640192152,-52.7590924720,0.0047256200,-0.0563997495,42.0391697243,0.0026216361,0.0246450037,1.0000000000,,,,,,,,,
11,2.1101,1785357756.985,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none,1,1920,1200,0.200000,101;102,1,0,world_rms>0.050;pnp_baseline_error>0.500,2-tag corner homography,0.378998,0.907224,101,102,3.352776,4.260000,0,0.050000,0.500000,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,1,0.000000,0.000000,322.163,707.197,65.796,791.597,9.614,780.294,79.753,715.911,134.650,723.176,-2.834633,0.617187,1.792709,3.410259,,,1,4.260000,0.000000,1690.016,853.964,1843.189,933.962,1760.729,935.353,1705.564,840.230,1784.250,843.267,-1.226606,-0.535460,-0.914090,1.620753,,,0.0200949510,0.0197305090,-16.3026717090,0.0015574505,-0.0186128912,13.8756582557,0.0007921761,0.0071313122,1.0000000000,,,,,,,,,
12,2.2295,1785357757.075,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none,1,1920,1200,0.200000,101;102,1,0,world_rms>0.050;pnp_baseline_error>0.500,2-tag corner homography,0.242152,0.910217,101,102,3.349783,4.260000,0,0.050000,0.500000,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,1,0.000000,0.000000,322.343,707.317,65.760,791.936,9.423,780.505,79.271,716.362,134.828,723.145,-2.833322,0.617542,1.791641,3.408673,,,1,4.260000,0.000000,1690.040,853.909,1843.941,934.422,1760.636,935.568,1705.549,840.085,1784.167,842.894,-1.221002,-0.532895,-0.909833,1.613263,,,-0.0008446162,-0.0022137366,1.7726475396,0.0001270021,-0.0011387097,0.8089234153,-0.0003998143,-0.0007725817,1.0000000000,,,,,,,,,
13,2.3210,1785357757.186,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none,1,1920,1200,0.200000,101;102,1,0,world_rms>0.050;pnp_baseline_error>0.500,2-tag corner homography,0.381257,0.911798,101,102,3.348202,4.260000,0,0.050000,0.500000,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,1,0.000000,0.000000,322.005,707.340,65.799,791.624,9.718,780.444,80.135,716.057,135.038,723.294,-2.832677,0.617228,1.791915,3.408224,,,1,4.260000,0.000000,1689.996,854.053,1843.587,934.467,1760.675,935.483,1705.998,840.294,1784.435,843.345,-1.217411,-0.531598,-0.906524,1.608251,,,0.0248511255,0.0245707856,-20.2971223643,0.0019018237,-0.0226994801,16.9232693422,0.0010193424,0.0090101341,1.0000000000,,,,,,,,,
14,2.4306,1785357757.281,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none,1,1920,1200,0.200000,101;102,1,0,world_rms>0.050;pnp_baseline_error>0.500,2-tag corner homography,0.380476,0.913208,101,102,3.346792,4.260000,0,0.050000,0.500000,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,1,0.000000,0.000000,321.886,707.247,65.897,791.662,9.676,780.050,80.492,715.854,134.937,723.146,-2.832166,0.616634,1.791739,3.407599,,,1,4.260000,0.000000,1689.981,854.107,1843.594,934.572,1760.526,935.240,1706.221,840.373,1784.615,843.644,-1.215203,-0.530731,-0.904554,1.605183,,,1.1953904947,1.2044967821,-993.1937573107,0.0843770896,-1.0053620547,749.1607289207,0.0448588934,0.4952925329,1.0000000000,,,,,,,,,
15,2.5252,1785357757.396,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none,1,1920,1200,0.200000,101;102,1,0,world_rms>0.050;pnp_baseline_error>0.500,2-tag corner homography,0.737022,0.899803,101,102,3.360197,4.260000,0,0.050000,0.500000,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,1,0.000000,0.000000,322.155,707.206,65.510,791.433,9.628,780.119,80.129,716.146,134.559,723.312,-2.844723,0.619416,1.799114,3.422416,,,1,4.260000,0.000000,1689.969,854.121,1843.266,934.348,1760.505,935.098,1706.044,840.531,1784.446,843.644,-1.215840,-0.531052,-0.905343,1.606216,,,-0.0001670305,0.0029640691,-0.6644686355,0.0000720750,0.0002813997,-0.3814192986,-0.0007536100,0.0008479939,1.0000000000,,,,,,,,,
16,2.6413,1785357757.495,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none,1,1920,1200,0.200000,101;102,1,0,world_rms>0.050;pnp_baseline_error>0.500,2-tag corner homography,0.380243,0.911539,101,102,3.348461,4.260000,0,0.050000,0.500000,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,1,0.000000,0.000000,322.332,707.133,65.902,791.862,9.545,780.195,78.889,716.226,134.678,722.699,-2.832941,0.616690,1.791251,3.407996,,,1,4.260000,0.000000,1690.003,853.998,1843.867,934.265,1760.474,935.555,1705.487,840.318,1784.201,843.180,-1.218619,-0.532044,-0.908113,1.610209,,,0.0206430041,0.0201810784,-16.6771658717,0.0015934674,-0.0190320364,14.1882124620,0.0008086316,0.0073642836,1.0000000000,,,,,,,,,
17,2.7406,1785357757.586,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none,1,1920,1200,0.200000,101;102,1,0,world_rms>0.050;pnp_baseline_error>0.500,2-tag corner homography,0.378877,0.914434,101,102,3.345566,4.260000,0,0.050000,0.500000,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,1,0.000000,0.000000,322.283,707.145,65.548,791.802,9.343,780.142,79.430,715.846,134.873,723.171,-2.831525,0.616392,1.790462,3.406351,,,1,4.260000,0.000000,1690.048,853.893,1844.040,934.302,1760.532,935.547,1705.605,840.214,1784.008,842.810,-1.213738,-0.529689,-0.904361,1.603621,,,0.0193537725,0.0189910908,-15.6893273038,0.0014991845,-0.0179181516,13.3579697460,0.0007574280,0.0068392064,1.0000000000,,,,,,,,,
18,2.8313,1785357757.682,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none,1,1920,1200,0.200000,101;102,1,0,world_rms>0.050;pnp_baseline_error>0.500,2-tag corner homography,0.381142,0.902426,101,102,3.357574,4.260000,0,0.050000,0.500000,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,1,0.000000,0.000000,321.864,707.158,65.745,791.639,9.608,779.557,80.277,716.054,135.234,722.966,-2.840156,0.617986,1.796752,3.417120,,,1,4.260000,0.000000,1689.938,854.179,1843.257,934.392,1760.572,935.371,1706.060,840.284,1783.312,843.398,-1.221915,-0.533844,-0.910255,1.614506,,,0.0375026865,0.0379463274,-31.2713031455,0.0028524687,-0.0339641264,25.3081944256,0.0015348959,0.0142052674,1.0000000000,,,,,,,,,
19,2.9268,1785357757.786,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none,1,1920,1200,0.200000,101;102,1,0,world_rms>0.050;pnp_baseline_error>0.500,2-tag corner homography,0.349578,0.902122,101,102,3.357878,4.260000,0,0.050000,0.500000,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,1,0.000000,0.000000,321.936,707.221,65.556,791.472,9.732,780.004,80.158,716.125,135.249,723.085,-2.838159,0.617872,1.795406,3.414732,,,1,4.260000,0.000000,1689.959,854.115,1843.358,934.490,1760.594,935.237,1705.591,840.321,1784.410,843.571,-1.230249,-0.537361,-0.916680,1.625598,,,0.0033389290,-0.0004809901,0.1222925733,-0.0001603370,0.0018696028,-1.3911766550,-0.0001161434,0.0006122217,1.0000000000,,,,,,,,,
20,3.0421,1785357757.893,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none,1,1920,1200,0.200000,101;102,1,0,world_rms>0.050;pnp_baseline_error>0.500,2-tag corner homography,0.377645,0.894508,101,102,3.365492,4.260000,0,0.050000,0.500000,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,1,0.000000,0.000000,322.257,707.254,65.799,791.620,9.603,780.263,79.493,716.398,134.627,723.158,-2.844199,0.619583,1.798629,3.421757,,,1,4.260000,0.000000,1689.967,854.072,1843.626,934.513,1760.640,935.449,1705.279,840.162,1784.407,843.464,-1.234854,-0.539300,-0.920476,1.631866,,,0.0193182147,0.0190641101,-15.7460066951,0.0015069568,-0.0180126181,13.4307040406,0.0007485717,0.0068408891,1.0000000000,,,,,,,,,
21,3.1493,1785357757.996,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none,1,1920,1200,0.200000,101;102,1,0,world_rms>0.050;pnp_baseline_error>0.500,2-tag corner homography,0.363947,0.908253,101,102,3.351747,4.260000,0,0.050000,0.500000,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,1,0.000000,0.000000,322.453,707.233,65.658,791.874,9.404,780.355,78.898,716.477,134.719,723.021,-2.838491,0.618411,1.794617,3.414691,,,1,4.260000,0.000000,1690.031,853.947,1844.220,934.521,1760.551,935.593,1705.656,840.354,1784.112,842.851,-1.209534,-0.527957,-0.901037,1.597992,,,1.7553429810,2.0325484667,-1656.1370247608,0.1320730280,-1.5755977153,1174.2784476977,0.0608485733,0.7479741422,1.0000000000,,,,,,,,,
22,3.2534,1785357758.099,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none,1,1920,1200,0.200000,101;102,1,0,world_rms>0.050;pnp_baseline_error>0.500,2-tag corner homography,0.370860,0.900320,101,102,3.359680,4.260000,0,0.050000,0.500000,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,1,0.000000,0.000000,322.271,707.221,65.497,791.591,9.751,780.173,79.346,716.505,134.793,723.042,-2.845076,0.619650,1.799125,3.422758,,,1,4.260000,0.000000,1690.002,854.049,1843.458,934.413,1760.628,935.359,1706.073,840.410,1784.883,843.495,-1.213740,-0.529976,-0.903569,1.603270,,,0.0067789692,0.0066713350,-5.5109547016,0.0005564540,-0.0066367807,4.9512298055,0.0003266799,0.0015486442,1.0000000000,,,,,,,,,
23,3.3461,1785357758.193,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none,1,1920,1200,0.200000,101;102,1,0,world_rms>0.050;pnp_baseline_error>0.500,2-tag corner homography,3.542915,0.891256,101,102,3.368744,4.260000,0,0.050000,0.500000,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,1,0.000000,0.000000,322.075,707.179,65.427,791.603,9.723,779.542,79.991,716.121,134.939,723.428,-2.852618,0.620959,1.804240,3.431954,,,1,4.260000,0.000000,1689.998,854.048,1843.369,934.380,1760.532,935.278,1706.079,840.301,1784.299,843.351,-1.216149,-0.531037,-0.905614,1.606597,,,0.0011917956,-0.0085482101,6.0503198217,-0.0000611285,0.0005275451,-0.3745066107,0.0002071629,-0.0014025803,1.0000000000,,,,,,,,,
24,3.4352,1785357758.285,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none,1,1920,1200,0.200000,101;102,1,0,world_rms>0.050;pnp_baseline_error>0.500,2-tag corner homography,0.398816,0.901199,101,102,3.358801,4.260000,0,0.050000,0.500000,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,1,0.000000,0.000000,321.890,707.272,65.762,791.478,9.739,779.850,80.265,716.114,135.222,723.383,-2.846428,0.619847,1.800775,3.424785,,,1,4.260000,0.000000,1689.940,854.213,1843.185,934.401,1760.785,935.292,1706.536,840.626,1783.566,843.525,-1.202736,-0.525498,-0.895149,1.588714,,,-0.0085600104,-0.0102256145,8.3120425487,-0.0004842678,0.0057610829,-4.2898939580,-0.0004084998,-0.0045575097,1.0000000000,,,,,,,,,
25,3.5268,1785357758.370,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none,1,1920,1200,0.200000,101;102,1,0,world_rms>0.050;pnp_baseline_error>0.500,2-tag corner homography,0.172369,0.911166,101,102,3.348834,4.260000,0,0.050000,0.500000,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,1,0.000000,0.000000,322.229,707.258,65.463,791.674,9.549,780.379,79.825,716.198,134.779,723.188,-2.834779,0.617524,1.792730,3.410453,,,1,4.260000,0.000000,1690.007,854.022,1843.495,934.364,1760.781,935.464,1706.030,840.349,1783.942,843.070,-1.212930,-0.529582,-0.903275,1.602362,,,0.1804741428,0.4464585919,-348.3816212019,-0.0145086211,0.1742879385,-129.8826487382,-0.0163568541,0.1305567678,1.0000000000,,,,,,,,,
26,3.6134,1785357758.453,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none,1,1920,1200,0.200000,101;102,1,0,world_rms>0.050;pnp_baseline_error>0.500,2-tag corner homography,0.381843,0.913990,101,102,3.346010,4.260000,0,0.050000,0.500000,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,1,0.000000,0.000000,322.103,707.099,65.924,791.775,9.588,779.884,79.742,715.983,134.611,722.732,-2.833240,0.616431,1.791854,3.408515,,,1,4.260000,0.000000,1690.024,853.961,1844.005,934.407,1760.469,935.561,1705.649,840.409,1784.129,842.883,-1.208211,-0.527411,-0.900114,1.596290,,,0.0245399563,0.0240684075,-19.8851265220,0.0018743761,-0.0223579663,16.6630877971,0.0009889449,0.0089131694,1.0000000000,,,,,,,,,
